Run;MethodName;Duration(ms)
115;GetParentsWithChildren;1.4259
115;UpdateParentWithChildren;21.2433
115;DeleteParentWithChildren;23.1698
116;InsertParentWithChildren;9.9685
116;GetParentsWithChildren;1.6684
116;UpdateParentWithChildren;40.0716
116;DeleteParentWithChildren;23.0032
117;InsertParentWithChildren;23.8930
117;GetParentsWithChildren;1.7301
117;UpdateParentWithChildren;22.4046
117;DeleteParentWithChildren;23.3305
118;InsertParentWithChildren;14.3212
118;GetParentsWithChildren;1.7866
118;UpdateParentWithChildren;22.2832
118;DeleteParentWithChildren;24.0770
119;InsertParentWithChildren;8.1726
119;GetParentsWithChildren;1.5994
119;UpdateParentWithChildren;9.3344
119;DeleteParentWithChildren;9.5408
120;InsertParentWithChildren;8.3264
120;GetParentsWithChildren;1.6199
120;UpdateParentWithChildren;21.2535
120;DeleteParentWithChildren;22.7270
121;InsertParentWithChildren;17.8394
121;GetParentsWithChildren;1.7770
121;UpdateParentWithChildren;21.8233
121;DeleteParentWithChildren;35.7965
122;InsertParentWithChildren;18.6272
122;GetParentsWithChildren;1.8419
122;UpdateParentWithChildren;22.4955
122;DeleteParentWithChildren;16.3753
123;InsertParentWithChildren;8.9540
123;GetParentsWithChildren;1.7757
123;UpdateParentWithChildren;8.9575
123;DeleteParentWithChildren;24.5500
124;InsertParentWithChildren;10.0351
124;GetParentsWithChildren;1.6003
124;UpdateParentWithChildren;23.2609
124;DeleteParentWithChildren;18.0652
125;InsertParentWithChildren;9.0475
125;GetParentsWithChildren;1.8371
125;UpdateParentWithChildren;23.4876
125;DeleteParentWithChildren;25.0748
126;InsertParentWithChildren;15.6376
126;GetParentsWithChildren;21.3493
126;UpdateParentWithChildren;39.5063
126;DeleteParentWithChildren;27.2996
127;InsertParentWithChildren;25.1761
127;GetParentsWithChildren;1.5918
127;UpdateParentWithChildren;24.2046
127;DeleteParentWithChildren;18.0294
128;InsertParentWithChildren;15.4712
128;GetParentsWithChildren;1.7430
128;UpdateParentWithChildren;17.3084
128;DeleteParentWithChildren;15.1186
129;InsertParentWithChildren;18.7116
129;GetParentsWithChildren;1.8977
129;UpdateParentWithChildren;18.0432
129;DeleteParentWithChildren;14.1929
130;InsertParentWithChildren;13.6117
