Run;MethodName;Duration(ms);MemoryUsed(bytes)
131;DeleteParentWithChildren;6,7670;57544
132;InsertParentWithChildren;7,2982;49224
132;GetParentsWithChildren;0,9829;24632
132;UpdateParentWithChildren;4,6712;53176
132;DeleteParentWithChildren;5,5025;57544
133;InsertParentWithChildren;6,3091;49224
133;GetParentsWithChildren;0,8803;24632
133;UpdateParentWithChildren;5,6615;53176
133;DeleteParentWithChildren;3,7901;57544
134;InsertParentWithChildren;5,1298;49224
134;GetParentsWithChildren;1,0033;24632
134;UpdateParentWithChildren;4,8350;53176
134;DeleteParentWithChildren;5,1006;57544
135;InsertParentWithChildren;6,0827;49224
135;GetParentsWithChildren;0,8839;24632
135;UpdateParentWithChildren;5,5970;53176
135;DeleteParentWithChildren;4,1618;57544
136;InsertParentWithChildren;5,1327;49224
136;GetParentsWithChildren;0,9131;24632
136;UpdateParentWithChildren;4,5217;53176
136;DeleteParentWithChildren;4,9946;57544
137;InsertParentWithChildren;5,9666;49224
137;GetParentsWithChildren;0,9597;24632
137;UpdateParentWithChildren;6,0728;53176
137;DeleteParentWithChildren;4,2175;57544
138;InsertParentWithChildren;5,7514;49224
138;GetParentsWithChildren;0,8442;24632
138;UpdateParentWithChildren;4,3882;53176
138;DeleteParentWithChildren;4,7617;57544
139;InsertParentWithChildren;6,0760;49224
139;GetParentsWithChildren;0,8754;24632
139;UpdateParentWithChildren;3,8791;53176
139;DeleteParentWithChildren;5,6189;57544
140;InsertParentWithChildren;5,2585;49224
140;GetParentsWithChildren;1,0070;24632
140;UpdateParentWithChildren;4,3757;53176
140;DeleteParentWithChildren;3,5276;57544
141;InsertParentWithChildren;5,2536;49224
141;GetParentsWithChildren;1,0994;24632
141;UpdateParentWithChildren;4,4724;53176
141;DeleteParentWithChildren;5,5862;57544
142;InsertParentWithChildren;5,0246;49224
142;GetParentsWithChildren;0,9924;32856
142;UpdateParentWithChildren;4,7190;53176
142;DeleteParentWithChildren;3,1687;57544
143;InsertParentWithChildren;4,8406;49224
143;GetParentsWithChildren;0,7849;24632
143;UpdateParentWithChildren;4,3247;49208
143;DeleteParentWithChildren;3,4660;57544
144;InsertParentWithChildren;4,7913;49224
144;GetParentsWithChildren;1,0457;24632
144;UpdateParentWithChildren;5,3479;49208
144;DeleteParentWithChildren;4,7314;57544
145;InsertParentWithChildren;5,6597;49224
145;GetParentsWithChildren;1,0023;24632
145;UpdateParentWithChildren;4,4453;49208
145;DeleteParentWithChildren;3,6490;57544
146;InsertParentWithChildren;5,1508;49224
146;GetParentsWithChildren;0,8453;24632
146;UpdateParentWithChildren;5,3729;49208
146;DeleteParentWithChildren;5,5838;57544
147;InsertParentWithChildren;5,1407;49224
147;GetParentsWithChildren;1,1456;24632
147;UpdateParentWithChildren;6,4289;53176
147;DeleteParentWithChildren;5,3295;57544
148;InsertParentWithChildren;4,9076;49224
148;GetParentsWithChildren;1,0707;24632
148;UpdateParentWithChildren;5,8950;53176
148;DeleteParentWithChildren;5,7114;57544
149;InsertParentWithChildren;6,9349;49224
149;GetParentsWithChildren;0,9112;24632
149;UpdateParentWithChildren;12,3823;53176
149;DeleteParentWithChildren;4,9090;57544
150;InsertParentWithChildren;4,9409;49224
150;GetParentsWithChildren;0,9479;24632
150;UpdateParentWithChildren;4,5326;53176
150;DeleteParentWithChildren;5,0854;57544
151;InsertParentWithChildren;5,4964;49224
151;GetParentsWithChildren;0,8957;24632
151;UpdateParentWithChildren;18,0430;53176
151;DeleteParentWithChildren;5,9733;57544
152;InsertParentWithChildren;10,3965;49224
152;GetParentsWithChildren;1,4665;24632
152;UpdateParentWithChildren;7,2114;53176
152;DeleteParentWithChildren;4,9250;57544
153;InsertParentWithChildren;5,5962;49224
153;GetParentsWithChildren;1,2394;24632
153;UpdateParentWithChildren;5,1141;53176
153;DeleteParentWithChildren;6,3860;57544
154;InsertParentWithChildren;4,6629;49224
154;GetParentsWithChildren;0,8468;24632
154;UpdateParentWithChildren;5,1946;53176
154;DeleteParentWithChildren;6,0880;57544
155;InsertParentWithChildren;5,8714;49224
155;GetParentsWithChildren;0,9628;24632
155;UpdateParentWithChildren;5,4448;53176
155;DeleteParentWithChildren;6,0560;57544
156;InsertParentWithChildren;5,0714;49224
156;GetParentsWithChildren;0,9397;24632
156;UpdateParentWithChildren;4,4914;53176
156;DeleteParentWithChildren;5,1497;57544
157;InsertParentWithChildren;4,9347;49224
157;GetParentsWithChildren;0,9319;24632
157;UpdateParentWithChildren;4,1309;53176
157;DeleteParentWithChildren;5,3245;57544
158;InsertParentWithChildren;4,6595;49224
158;GetParentsWithChildren;1,0564;24632
158;UpdateParentWithChildren;4,5726;53176
158;DeleteParentWithChildren;9,4426;57544
159;InsertParentWithChildren;4,6592;49224
159;GetParentsWithChildren;1,0264;24632
159;UpdateParentWithChildren;6,7185;49208
159;DeleteParentWithChildren;5,9930;57544
160;InsertParentWithChildren;5,6144;49224
160;GetParentsWithChildren;1,1787;24632
160;UpdateParentWithChildren;6,2322;49208
160;DeleteParentWithChildren;4,8534;57544
161;InsertParentWithChildren;6,0983;49224
161;GetParentsWithChildren;1,0835;24632
161;UpdateParentWithChildren;4,4222;49208
161;DeleteParentWithChildren;4,9338;57544
